2025-07-31T20:11:55.509735015Z 20:11:55 |  INFO | main: [FUNCIONALIDAD] Nueva llamada entrante (POST /twilio-voice)
2025-07-31T20:11:55.509764026Z 20:11:55 |  INFO | main: [LATENCIA] Respuesta TwiML generada en 0.0 ms
2025-07-31T20:11:55.575667149Z 20:11:55 |  INFO | main: [FUNCIONALIDAD] WebSocket /twilio-websocket aceptado
2025-07-31T20:11:55.57568444Z 20:11:55 |  INFO | twilio_handler: 📞 TwilioHandler inicializado
2025-07-31T20:11:55.57569443Z 20:11:55 |  INFO | integration_manager: 🔌 IntegrationManager inicializado
2025-07-31T20:11:55.575791942Z 20:11:55 |  INFO | call_orchestrator: 🎭 CallOrchestrator inicializado
2025-07-31T20:11:55.575849203Z 20:11:55 |  INFO | call_orchestrator: [FUNCIONALIDAD] Nueva llamada entrante
2025-07-31T20:11:55.575865494Z 20:11:55 |  INFO | call_orchestrator: 📦 Pre-cargando datos...
2025-07-31T20:11:55.576359355Z 20:11:55 |  INFO | buscarslot: ⏳ Cargando slots libres desde Google Calendar…
2025-07-31T20:11:55.576480608Z 20:11:55 |  INFO | utils: 🔍 Inicializando Google Calendar...
2025-07-31T20:11:55.578219308Z 20:11:55 |  INFO | googleapiclient.discovery_cache: file_cache is only supported with oauth2client<4.0.0
2025-07-31T20:11:55.995915475Z 20:11:55 |  INFO | buscarslot: ✅ Slots libres precargados (90 días)
2025-07-31T20:11:55.996187382Z 20:11:55 |  INFO | call_orchestrator: ✅ Datos pre-cargados
2025-07-31T20:11:55.996214462Z 20:11:55 |  INFO | twilio_handler: 🔧 Handlers configurados
2025-07-31T20:11:55.996318105Z 20:11:55 |  INFO | twilio_handler: [FUNCIONALIDAD] Nueva conexión WebSocket entrante de Twilio
2025-07-31T20:11:55.996455428Z INFO:     ('18.212.163.35', 0) - "WebSocket /twilio-websocket" [accepted]
2025-07-31T20:11:55.996581761Z 20:11:55 |  INFO | twilio_handler: ✅ WebSocket aceptado
2025-07-31T20:11:55.996606631Z 20:11:55 |  INFO | twilio_handler: 🔄 Iniciando loop de recepción
2025-07-31T20:11:55.997137603Z INFO:     connection open
2025-07-31T20:11:56.008492166Z 20:11:56 |  INFO | twilio_handler: ✅ Twilio confirmó conexión establecida
2025-07-31T20:11:56.008522377Z 20:11:56 |  INFO | twilio_handler: [LATENCIA] Evento 'connected' procesado en 0.1 ms
2025-07-31T20:11:56.008615459Z 20:11:56 |  INFO | twilio_handler: 🏁 Stream iniciado - StreamSID: MZ9d3af776d575bebe55a07960c90ffb2c, CallSID: CA35ef281cab9365a5283c5d8e5b09fe86
2025-07-31T20:11:56.00863404Z 20:11:56 |  INFO | call_orchestrator: 🏁 Stream iniciado - CallSID: CA35ef281cab9365a5283c5d8e5b09fe86, StreamSID: MZ9d3af776d575bebe55a07960c90ffb2c
2025-07-31T20:11:56.008695341Z 20:11:56 |  INFO | call_orchestrator: 🔧 Inicializando componentes de la llamada...
2025-07-31T20:11:56.008716251Z 20:11:56 |  INFO | call_orchestrator: 🎵 Inicializando AudioManager...
2025-07-31T20:11:56.008806453Z 20:11:56 |  INFO | audio_manager: 🎵 AudioManager creado para stream: MZ9d3af776d575bebe55a07960c90ffb2c
2025-07-31T20:11:56.008821894Z 20:11:56 |  INFO | call_orchestrator: 🗣️ Inicializando ConversationFlow...
2025-07-31T20:11:56.008898286Z 20:11:56 |  INFO | conversation_flow: 🗣️ ConversationFlow creado para sesión: CA35ef281cab9365a5283c5d8e5b09fe86
2025-07-31T20:11:56.008938736Z 20:11:56 |  INFO | call_orchestrator: ✅ ConversationFlow inicializado
2025-07-31T20:11:56.008943487Z 20:11:56 |  INFO | call_orchestrator: 🎤 Inicializando STT...
2025-07-31T20:11:56.008991698Z 20:11:56 |  INFO | audio_manager: 🎤 Iniciando Deepgram STT...
2025-07-31T20:11:56.009240634Z 20:11:56 |  INFO | deepgram_stt_streamer: Intentando CONECTAR con Deepgram...
2025-07-31T20:11:56.27682769Z 20:11:56 |  INFO | deepgram_stt_streamer: 🔛 Conexión Deepgram ABIERTA (evento Open recibido).
2025-07-31T20:11:56.276977913Z 20:11:56 |  INFO | audio_manager: ✅ Deepgram STT iniciado correctamente
2025-07-31T20:11:56.276982764Z 20:11:56 |  INFO | call_orchestrator: 🔊 Inicializando TTS...
2025-07-31T20:11:56.277003264Z 20:11:56 |  INFO | audio_manager: 🔊 Iniciando ElevenLabs TTS...
2025-07-31T20:11:56.277133247Z 20:11:56 |  INFO | eleven_ws_tts_client: [FUNCIONALIDAD] Iniciando conexión WebSocket ElevenLabs...
2025-07-31T20:11:56.359464501Z 20:11:56 |  INFO | eleven_ws_tts_client: 🟢 ElevenLabs WebSocket conectado (reutilizable)
2025-07-31T20:11:56.359492461Z 20:11:56 |  INFO | eleven_ws_tts_client: [LATENCIA] WebSocket ElevenLabs abierto en 81.1 ms
